,Id,TS_comp,TS_host,TS_ligand,exp
64,Sampl6_OA_TEMOA--OA-G2,274.991423878,240.788063095,25.1129616806,2.5
65,Sampl6_OA_TEMOA--OA-G3,258.211462226,240.788063095,8.8305132756,3.2
66,Sampl6_OA_TEMOA--OA-G4,280.18217784,240.788063095,28.6603467525,1.1
67,Sampl6_OA_TEMOA--OA-G5,259.793662108,240.788063095,9.6384706198,3.8
68,Sampl6_OA_TEMOA--OA-G6,264.650780937,240.788063095,14.821743424,0.8
69,Sampl6_OA_TEMOA--OA-G7,265.020272734,240.788063095,14.9363837283,4.2
70,Sampl6_cb8_CB8--CB8-G0,266.561148114,195.846228873,53.4633493356,-2.5
71,Sampl6_cb8_CB8--CB8-G1,286.84483575,195.846228873,73.8421255503,-2.6
72,Sampl6_cb8_CB8--CB8-G2,276.460423831,195.846228873,68.535724905,-1.2
73,Sampl6_cb8_CB8--CB8-G3,275.265828556,195.846228873,63.9583467184,-4.0
74,Sampl6_cb8_CB8--CB8-G4,358.465272774,195.846228873,138.811153126,2.0
75,Sampl6_cb8_CB8--CB8-G5,250.201201331,195.846228873,45.2756050096,-5.0
76,Sampl6_cb8_CB8--CB8-G6,238.371408852,195.846228873,30.8885553875,-2.6
77,Sampl6_cb8_CB8--CB8-G7,243.805711897,195.846228873,36.7884480342,-3.5
78,Sampl6_cb8_CB8--CB8-G8,271.200375985,195.846228873,59.319204776,0.9
79,Sampl6_cb8_CB8--CB8-G9,244.35757344,195.846228873,37.8851853917,-4.0
80,Sampl6_cb8_CB8--CB8-G10,248.153801478,195.846228873,42.5433781385,-5.7
81,acd_MGO--bam,188.818599808,161.254827826,16.8447271042,0.6
82,acd_MGO--but,181.732404346,161.254827826,4.7979245667,1.03
83,acd_MGO--cbu,179.633618304,161.254827826,8.9478896275,0.73
84,acd_MGO--chp,197.382304574,161.254827826,24.8047227778,0.48
85,acd_MGO--coc,204.160568567,161.254827826,30.361611313,-2.29
86,acd_MGO--cpe,185.191884839,161.254827826,14.2009355978,0.61
87,acd_MGO--ham,201.804227289,161.254827826,25.709957093,0.66
88,acd_MGO--hep,196.301052304,161.254827826,18.1179769391,0.2
89,acd_MGO--hex,192.270887905,161.254827826,13.6744987898,0.02
90,acd_MGO--hp6,192.987462914,161.254827826,13.2779975435,0.88
91,acd_MGO--hpa,204.398609149,161.254827826,30.0746663938,0.52
92,acd_MGO--hx2,184.153308006,161.254827826,9.9223733604,0.78
93,acd_MGO--hx3,188.391336319,161.254827826,8.537277728,0.35
94,acd_MGO--mba,197.095563137,161.254827826,22.0607612404,0.91
95,acd_MGO--mha,205.087795203,161.254827826,30.8611488149,0.68
96,acd_MGO--mhp,212.337217371,161.254827826,35.2978303916,0.57
97,acd_MGO--nmb,196.399300311,161.254827826,21.0416793366,0.88
98,acd_MGO--nmh,206.323149106,161.254827826,30.0232542122,0.68
99,acd_MGO--oam,210.181434691,161.254827826,34.5896868166,0.86
100,acd_MGO--oct,197.099925791,161.254827826,22.5504514034,0.27
101,acd_MGO--pam,196.755623234,161.254827826,21.2326785548,0.56
102,acd_MGO--pnt,185.458197985,161.254827826,9.1792079464,0.16
103,bcd_Cpptraj--ben,204.987586618,183.116758247,5.8899242315,0.87
104,bcd_Cpptraj--cbu,203.065273068,183.116758247,8.9411484105,-2.44
105,bcd_Cpptraj--chp,222.828874379,183.116758247,24.4714946184,-1.6
106,bcd_Cpptraj--coc,228.847851494,183.116758247,30.3533471497,-1.05
107,bcd_Cpptraj--cpe,209.571828113,183.116758247,14.2004376566,-1.96
108,bcd_Cpptraj--ham,223.818402355,183.116758247,25.7131049642,-3.08
109,bcd_Cpptraj--hep,221.509365859,183.116758247,18.1611072584,-3.81
110,bcd_Cpptraj--hex,215.157165995,183.116758247,13.7013229248,-3.59
111,bcd_Cpptraj--m4c,222.625831025,183.116758247,25.0375534494,-2.05
112,bcd_Cpptraj--m4t,220.840518939,183.116758247,25.4436829664,-2.38
113,bcd_Cpptraj--mch,220.387586594,183.116758247,25.6574897093,-1.89
114,bcd_Cpptraj--mha,228.796886077,183.116758247,30.8590304134,-3.03
115,bcd_Cpptraj--mo3,214.381988779,183.116758247,12.5660784574,0.77
116,bcd_Cpptraj--mo4,214.565707467,183.116758247,12.9325543284,-0.55
117,bcd_Cpptraj--mp3,215.174166102,183.116758247,12.8004479782,1.29
118,bcd_Cpptraj--mp4,213.232327053,183.116758247,13.2117494378,0.7
119,bcd_Cpptraj--oam,235.259808867,183.116758247,34.6337821966,-3.11
120,bcd_Cpptraj--pb3,221.563597609,183.116758247,19.4296505087,-1.27
121,bcd_Cpptraj--pb4,220.699846485,183.116758247,18.2987729412,-0.78
122,bcd_Cpptraj--pha,209.561359093,183.116758247,9.3134670576,0.1
123,bcd_Cpptraj--pnt,208.832589643,183.116758247,9.1744060417,-3.15
124,bcd_Cpptraj--rim,250.128560663,183.116758247,54.2595674849,4.09
