,complex-name,gb-complex-etot,gb-complex-1-4-eel,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-1-4-eel,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-1-4-eel,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg,enthalpy-gb,entropy
26,1ajx,-7109.8141,8755.2302,-14014.2458,-1897.9794,47.1808,-7142.5274,8673.5864,-13861.7579,-2003.3651,49.0092,-53.66,81.6438,-105.9202,-33.4653,4.0817,-17663.3926,-1823.4003,-14014.2458,-1872.9273,47.1808,-17523.8126,-1734.9597,-13861.7579,-1976.1042,49.0092,-152.1987,-13.2025,-105.9202,-37.1577,4.0817,-10.92806885,11.1352000000006,22.0632688500006
27,1alw,-14278.9352,13941.5633,-21534.3589,-6767.8216,81.682,-14254.3994,13858.3551,-21518.4229,-6676.4223,82.0908,-43.3183,83.2083,-46.8588,-81.5113,1.8434,-31542.2125,-3390.7516,-21534.3589,-6698.7839,81.682,-31407.1345,-3367.4512,-21518.4229,-6603.3512,82.0908,-127.0807,-1.925,-46.8588,-80.1404,1.8434,-9.007712884,-2.59289999999964,6.41481288400036
28,1amw,-18477.9866,17353.9684,-29688.6693,-6236.8029,93.5172,-17746.2319,18481.895,-30080.5129,-6242.0664,94.4524,-771.2255,-1127.9266,419.9111,-66.0213,2.8113,-39926.4538,-4144.5454,-29688.6693,-6186.7564,93.5172,-40277.2984,-4099.7632,-30080.5129,-6191.4747,94.4524,352.4998,-5.1495,419.9111,-65.0731,2.8113,-6.272241793,-0.16189999999915,6.11034179300085
29,1apv,-9729.2469,16127.6347,-19940.8435,-5977.8115,61.7734,-9784.016,15933.2141,-19691.0842,-6089.62,63.4742,-39.8636,194.4207,-194.7663,-43.5899,4.0719,-28002.602,-2215.1405,-19940.8435,-5908.3914,61.7734,-27830.4921,-2134.9089,-19691.0842,-6067.9732,63.4742,-250.0257,-13.8664,-194.7663,-45.4649,4.0719,-12.4339595,28.2674999999999,40.7014594999999
30,1atl,-16835.3925,15795.7871,-26303.9172,-6416.0451,88.7827,-16875.5416,15697.0151,-26476.7575,-6185.2074,89.4081,-89.6162,98.772,-104.417,-86.9938,3.0226,-33413.7562,-870.9656,-26303.9172,-6327.6562,88.7827,-33324.7882,-820.2654,-26476.7575,-6117.1735,89.4081,-192.6318,-5.0601,-104.417,-86.1773,3.0226,-8.67614063,84.1251999999986,92.8013406299986
31,1avn,-9306.0047,12933.95,-19530.4884,-2768.0414,58.5751,-9263.9005,12952.7548,-19568.6048,-2706.7181,58.6676,-52.6708,-18.8048,39.0479,-74.4886,1.5746,-24660.4455,-2468.8677,-19530.4884,-2719.6645,58.5751,-24627.5502,-2457.728,-19568.6048,-2659.885,58.6676,-32.1924,-0.9126,39.0479,-71.9024,1.5746,-5.388049118,0.339499999998225,5.72754911799822
32,1ax0,-15552.7632,22429.1644,-31704.5655,-6376.1682,98.806,-15513.1617,22328.2456,-31535.8612,-6404.6579,99.1117,-58.0522,100.9188,-120.5427,-40.4809,2.0526,-42322.2411,-4539.7431,-31704.5655,-6176.7385,98.806,-42155.7032,-4513.2513,-31535.8612,-6205.7025,99.1117,-164.6919,-2.3544,-120.5427,-43.8475,2.0526,-4.324254805,-5.68670000000202,-1.36244519500202
33,1b05,-20121.2827,24280.4036,-39637.9908,-4859.0473,95.3518,-20217.4942,23900.4167,-39251.6786,-4962.8411,96.6088,34.7547,379.9868,-315.2029,-33.5993,3.5701,-48847.973,-4560.8155,-39637.9908,-4744.5185,95.3518,-48473.2987,-4465.2768,-39251.6786,-4852.9521,96.6088,-355.3961,-9.3754,-315.2029,-34.3879,3.5701,-9.836643517,-24.7065000000002,-14.8698564830002
34,1b0h,-20187.9395,24282.5863,-39600.0033,-4967.9779,97.4554,-20285.153,23900.6632,-39199.4058,-5085.4065,98.9961,30.7462,381.9231,-318.9296,-36.5412,4.2939,-48908.3403,-4554.6626,-39600.0033,-4851.1297,97.4554,-48519.3941,-4443.4769,-39199.4058,-4975.5075,98.9961,-363.3191,-11.6527,-318.9296,-37.0307,4.2939,-9.256392074,-33.0656999999992,-23.8093079259992
35,1b1h,-20058.3921,24253.4941,-39670.0204,-4738.6511,96.7852,-20075.9155,23851.1878,-39200.5096,-4824.9383,98.3445,-52.0696,402.3063,-356.3003,-102.2899,4.2143,-48854.0941,-4646.8494,-39670.0204,-4634.0096,96.7852,-48372.9966,-4539.7287,-39200.5096,-4731.1028,98.3445,-463.2078,-10.8931,-356.3003,-100.2287,4.2143,-9.712303922,-26.6346000000012,-16.9222960780012
36,1b2h,-20367.8608,24311.155,-39955.4173,-4820.1211,96.5227,-20246.8081,23863.7559,-38929.9703,-5278.4887,97.895,-166.0154,447.399,-184.9912,-432.2929,3.8696,-49156.8287,-4563.4099,-39955.4173,-4734.5241,96.5227,-48457.949,-4460.9781,-38929.9703,-5164.8956,97.895,-613.6487,-10.2701,-184.9912,-422.2571,3.8696,-6.272241793,-47.1989999999969,-40.9267582069969
37,1b32,-20214.4053,24207.0613,-39775.3097,-4742.4616,96.3047,-20101.6636,23775.4293,-38899.7973,-5074.9893,97.6937,-143.0478,431.632,-274.3206,-304.2893,3.93,-48991.7445,-4657.5326,-39775.3097,-4655.2069,96.3047,-48333.2581,-4555.0365,-38899.7973,-4976.118,97.6937,-577.0723,-10.3681,-274.3206,-296.3135,3.93,-9.809012496,-61.8218999999954,-52.0128875039954
38,1b3f,-20110.5048,24166.086,-39683.6151,-4688.8107,95.8349,-20036.7133,23738.5524,-38775.099,-5097.3898,97.2231,-142.6489,427.5336,-154.0539,-420.0625,3.9339,-48847.851,-4662.5293,-39683.6151,-4597.5415,95.8349,-48223.7415,-4555.9205,-38775.099,-4989.9451,97.2231,-572.1985,-10.6701,-154.0539,-411.4084,3.9339,-9.518886774,-27.081299999998,-17.562413225998
39,1b3g,-20213.1439,24346.034,-39769.4273,-4887.0395,97.2888,-20250.6592,23940.6488,-39308.2121,-4981.7676,98.6717,-45.6673,405.3852,-358.3961,-96.4346,3.7782,-48986.0106,-4546.3326,-39769.4273,-4767.5394,97.2888,-48529.8992,-4445.8293,-39308.2121,-4874.5295,98.6717,-458.9188,-9.9025,-358.3961,-94.3984,3.7782,-9.256392074,-7.41819999999643,1.83819207400357
40,1b3h,-20210.3177,24310.4483,-39687.6041,-4929.8628,96.7008,-20234.5524,23907.1523,-39213.3636,-5026.5113,98.1701,-47.475,403.296,-357.6354,-97.2755,4.1398,-48971.0497,-4570.0006,-39687.6041,-4810.1458,96.7008,-48497.7995,-4463.19,-39213.3636,-4919.416,98.1701,-460.4058,-11.5316,-357.6354,-95.3787,4.1398,-8.579432056,-23.5692999999992,-14.9898679439992
41,1b3l,-20034.8242,24159.5838,-39127.0798,-5166.631,99.3029,-20118.5491,23799.1451,-38748.8743,-5269.2855,100.4655,30.7578,360.4387,-300.0483,-32.9853,3.3527,-48603.181,-4502.6146,-39127.0798,-5072.7895,99.3029,-48253.9024,-4416.0221,-38748.8743,-5189.4715,100.4655,-337.9508,-7.9891,-300.0483,-33.2662,3.3527,-8.137335719,-25.6363000000019,-17.4989642810019
42,1b40,-20074.9869,24288.796,-39497.0842,-4962.4337,95.735,-20162.7999,23916.148,-39104.0994,-5071.8682,97.0197,30.5655,372.6481,-310.848,-35.2445,4.0099,-48828.8957,-4576.5988,-39497.0842,-4850.9476,95.735,-48453.0152,-4472.4965,-39104.0994,-4973.439,97.0197,-353.4417,-10.629,-310.848,-35.9745,4.0099,-10.05769169,-36.2257999999965,-26.1681083099965
43,1b46,-20099.3037,24281.3648,-39328.8814,-5148.0876,96.3005,-20208.1851,23921.7141,-38972.9207,-5254.5493,97.5707,48.1285,359.6507,-284.094,-31.0038,3.5755,-48844.6144,-4569.3545,-39328.8814,-5042.679,96.3005,-48500.6881,-4473.0772,-38972.9207,-5152.2608,97.5707,-321.2396,-9.7212,-284.094,-31.0,3.5755,-7.294589575,-25.8032000000021,-18.5086104250021
44,1b4h,-20330.4004,24345.0027,-40046.3341,-4725.8992,96.8302,-20250.6695,23907.1264,-39210.5657,-5045.3827,98.1524,-169.7212,437.8763,-175.8459,-435.4686,3.717,-49152.4097,-4566.2429,-40046.3341,-4636.6629,96.8302,-48518.6064,-4463.9466,-39210.5657,-4942.2465,98.1524,-607.7037,-10.8809,-175.8459,-424.6939,3.717,-7.543268765,-1.42510000000038,6.11816876499962
45,1b4z,-20056.8504,24177.6196,-39470.2663,-4860.2149,96.0113,-20051.8266,23789.9219,-38883.6947,-5055.3609,97.3072,-34.6379,387.6977,-304.7538,-121.2409,3.6591,-48794.2849,-4659.8573,-39470.2663,-4760.1726,96.0113,-48301.0074,-4562.6628,-38883.6947,-4951.9571,97.3072,-429.3322,-9.9941,-304.7538,-118.2434,3.6591,-7.225512022,-57.586299999999,-50.360787977999
46,1b51,-20372.6991,24284.0212,-39966.9784,-4787.0435,97.3015,-20258.9618,23879.5178,-39173.0096,-5064.0261,98.5561,-152.5424,404.5035,-255.0431,-305.4926,3.4898,-49110.6762,-4546.4213,-39966.9784,-4694.578,97.3015,-48482.5464,-4454.4271,-39173.0096,-4953.6658,98.5561,-558.7772,-9.0002,-255.0431,-298.2238,3.4898,-10.18203128,-44.1888999999974,-34.0068687199974
47,1b52,-20167.3241,24087.4039,-39766.7047,-4584.0032,95.9799,-20058.4306,23693.9984,-39010.0434,-4839.6677,97.2821,-156.6399,393.4055,-260.5008,-293.1685,3.6239,-48669.8802,-4520.5411,-39766.7047,-4478.6142,95.9799,-48062.5256,-4423.2143,-39010.0434,-4726.55,97.2821,-553.0876,-9.5109,-260.5008,-286.6998,3.6239,-9.836643517,-40.0695000000014,-30.2328564830014
48,1b55,-28324.142,25386.4847,-40375.3198,-13502.5553,167.2484,-27493.5841,25806.1045,-39193.9786,-14273.3345,167.6245,-836.6919,-419.6199,-153.3631,-266.4823,2.7733,-58734.4872,-5186.0544,-40375.3198,-13340.3613,167.2484,-58293.4593,-5167.4431,-39193.9786,-14099.6621,167.6245,-416.2305,1.0951,-153.3631,-266.7358,2.7733,-10.22347781,-13.5723999999973,-3.34892218999729
49,1b57,-23343.827,35032.1139,-50875.8245,-7623.5581,123.4417,-23209.8421,35067.5036,-50735.5282,-7665.4398,123.6223,-194.4926,-35.3897,-108.5755,-52.1351,1.6078,-65083.4614,-6838.0481,-50875.8245,-7493.0305,123.4417,-64968.4183,-6819.6895,-50735.5282,-7536.823,123.6223,-160.7303,-0.7505,-108.5755,-53.012,1.6078,-11.05240845,42.8996000000006,53.9520084500006
50,1b58,-20282.4988,24263.5811,-39766.8852,-4876.1061,96.9114,-20152.4108,23859.0166,-38928.2838,-5181.5373,98.3937,-170.7218,404.5644,-271.9833,-307.3815,4.0785,-49017.6439,-4558.8746,-39766.8852,-4788.7956,96.9114,-48370.1574,-4453.0692,-38928.2838,-5087.1981,98.3937,-579.9971,-11.0173,-271.9833,-301.0749,4.0785,-9.104421458,-54.1542999999983,-45.0498785419983
51,1b5h,-20241.2115,24384.4348,-40092.5009,-4629.9129,96.7675,-20229.3077,23951.8996,-39341.4458,-4937.8217,98.0603,-65.1609,432.5352,-136.3063,-364.9801,3.5902,-49097.1207,-4563.0439,-40092.5009,-4538.3433,96.7675,-48528.1143,-4465.0967,-39341.4458,-4819.6321,98.0603,-499.3604,-9.7092,-136.3063,-356.9352,3.5902,-8.303121845,-34.9809000000023,-26.6777781550023
52,1b5i,-20044.4745,24170.965,-39635.169,-4676.8304,96.5599,-20070.9852,23867.1669,-39248.5137,-4787.524,97.8855,-33.3299,303.7981,-298.9438,-41.9111,3.727,-48770.0151,-4656.7924,-39635.169,-4574.6136,96.5599,-48401.9281,-4558.7834,-39248.5137,-4692.5166,97.8855,-346.9389,-10.2335,-298.9438,-41.4886,3.727,-9.739934943,-27.9349000000038,-18.1949650570038
53,1b5j,-20225.825,24176.7973,-39839.7802,-4658.3689,95.5269,-20035.7264,23808.4649,-38967.1425,-4973.9504,96.9016,-225.7377,368.3324,-278.7998,-319.1059,3.8357,-48973.0236,-4660.502,-39839.7802,-4568.2683,95.5269,-48293.7355,-4557.5652,-38967.1425,-4865.9294,96.9015,-595.4266,-9.872,-278.7998,-310.5905,3.8357,-10.26492434,-57.4256999999998,-47.1607756599998
54,1b6h,-20296.8589,24321.9897,-39992.2987,-4722.6096,96.0597,-20196.8492,23894.0215,-39155.5656,-5032.6935,97.3884,-141.2794,427.9682,-280.7715,-292.2301,3.754,-49096.2731,-4567.2341,-39992.2987,-4632.8001,96.0597,-48447.3229,-4471.1957,-39155.5656,-4917.95,97.3884,-570.8802,-9.8338,-280.7715,-284.0289,3.754,-10.80372926,-44.9349000000002,-34.1311707400002
55,1b6j,-7226.4704,8456.0368,-13912.8309,-1818.437,48.7608,-7169.8815,8127.5095,-13439.7997,-1908.5982,51.0069,-153.902,328.5274,-384.3239,-102.995,4.8895,-17470.3482,-1804.2042,-13912.8309,-1802.0738,48.7608,-16962.1029,-1686.6394,-13439.7997,-1886.6707,51.0069,-503.8398,-23.0187,-384.3239,-101.3868,4.8895,-10.94188436,2.76699999999983,13.7088843599998
56,1b6k,-7092.2514,8696.282,-13780.7707,-2056.491,48.7284,-7068.9802,8388.4894,-13403.146,-2105.3579,51.0344,-64.8023,307.7926,-280.7074,-96.6785,4.791,-17557.3534,-1788.5833,-13780.7707,-2036.7277,48.7284,-17103.3832,-1670.9323,-13403.146,-2080.3393,51.0344,-398.87,-23.0153,-280.7074,-99.9383,4.791,-12.07475623,-53.1045999999988,-41.0298437699988
57,1b6l,-7075.8939,8477.4797,-13517.2344,-2084.7978,48.6586,-7032.762,8364.8137,-13316.1618,-2131.9511,50.5372,-134.632,112.666,-160.0872,-91.3568,4.146,-17322.234,-1788.6352,-13517.2344,-2065.0231,48.6586,-17062.3961,-1691.3588,-13316.1618,-2105.4127,50.5372,-264.6493,-17.3211,-160.0872,-91.387,4.146,-11.46687376,11.5448000000015,23.0116737600015
58,1b7h,-20258.9721,24289.4708,-39914.4492,-4731.4402,97.4466,-20161.5901,23854.5907,-39049.6041,-5065.3917,98.815,-139.0679,434.8801,-274.717,-303.1683,3.9372,-49009.237,-4560.425,-39914.4492,-4631.8094,97.4466,-48362.3968,-4460.9898,-39049.6041,-4950.618,98.815,-576.298,-9.8318,-274.717,-295.6865,3.9372,-11.08003947,-47.9174999999959,-36.8374605299959
59,1b8n,-11730.9875,10093.4182,-19065.1712,-2817.5497,58.3152,-11518.8264,10260.7156,-18983.1797,-2855.3106,58.9482,-210.5855,-167.2974,-1.4346,-44.1849,2.3313,-24475.6662,-2676.8757,-19065.1712,-2791.9346,58.3152,-24391.539,-2632.3451,-18983.1797,-2834.9625,58.9482,-49.6569,-3.4318,-1.4346,-47.1219,2.3313,-14.53391711,-42.6743999999999,-28.1404828899999
60,1b8o,-11607.6917,10506.5213,-19462.0189,-2711.2014,59.0072,-11481.5473,10470.8979,-19203.6164,-2808.5165,59.6877,-138.4122,35.6235,-87.7496,-88.4981,2.212,-24774.2402,-2704.3657,-19462.0189,-2666.8628,59.0072,-24581.2797,-2655.8484,-19203.6164,-2781.5026,59.6877,-179.1456,-3.8199,-87.7496,-89.7881,2.212,-14.69970323,-32.4295999999995,-17.7298967699995
61,1b8y,-5816.5999,7584.4172,-9992.9581,-3450.42,42.361,-5798.166,7436.881,-10088.4113,-3190.0937,43.458,-151.175,147.5363,-207.0448,-94.8366,3.1702,-14909.3076,-1591.0855,-9992.9581,-3367.625,42.361,-14709.1087,-1530.6846,-10088.4113,-3133.4708,43.458,-298.8516,-1.2568,-207.0448,-93.7202,3.1702,-10.84517579,73.5969999999998,84.4421757899998
62,1b9j,-19959.3411,24165.8915,-39301.5832,-4920.7676,97.1183,-20058.8089,23796.9714,-38915.6423,-5038.7556,98.6176,32.0906,368.9201,-306.7117,-33.9634,3.8457,-48656.2981,-4637.4712,-39301.5832,-4814.3619,97.1183,-48290.7827,-4540.1361,-38915.6423,-4933.6219,98.6176,-346.3795,-9.8676,-306.7117,-33.6458,3.8457,-8.234044293,-20.0903000000035,-11.8562557070035
